"Plants for multiple sectors,multiple states,multiple primary technologys"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,5&pt=0000g8&pm=&sec=vvo&geo=vvvvvvvvvvvvo&wd=&ws=&wsn=&wt=&freq=A&datecode=2016&tab=consumption-quantity&pin=&rse=0&maptype=0&ltype=pin&ctype=linechart&end=201710&start=200101"
"Mon Jan 29 2018 14:52:16 GMT-0500 (Eastern Standard Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","OBG (Mcf)","NG (Mcf)","AB (short tons)","WDS (short tons)","BLQ (short tons)","DFO (barrels)","BIT (short tons)","KER (barrels)","SLW (short tons)","WO (barrels)","RFO (barrels)","TDF (short tons)","SUN","SUB (short tons)","PC (short tons)","PG (Mcf)","OBL (barrels)","OBS (short tons)","WDL (barrels)","LIG (short tons)","WND","WAT","MSB (short tons)","MSN (short tons)","OTH","JF (barrels)","LFG (Mcf)","OG (Mcf)"
"Caltech Central",42196,14065,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Campbell Industrial Park","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--",120032,"--","--","--","--","--","--","--","--","--","--","--"
"Cargill B6 Biofactory",187544,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Cargill Dry Creek Biofactory",235415,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Cargill Kettle Butte Biofactory",114888,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Central District Wastewater Treat Plant",308840,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Central Valley Ag Power",15977,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"City of Hayward WWTP",115311,7242,"--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"City of Tulare Water Facility",34440,0,"--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Clean Fuel Dane Community Digester",152214,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Clearwater Paper APP CB","--",2454047,"--","--",484921,0,"--","--","--",0,"--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--"
"Clearwater Paper IPP Lewiston","--",2774270,"--",239006,970114,0,"--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Clewiston Sugar House","--","--",2216052,"--","--",13807,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Co-Gen II LLC","--",0,"--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Co-Gen LLC","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Collins Pine Project","--","--","--",43483,"--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Collinwood BioEnergy Facility",70913,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Columbia Flooring Melbourne","--","--","--",10688,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Columbus MS","--",528002,"--",429129,977745,14403,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Consumer Products (Camas) LLC","--",1665908,"--",45171,370541,"--","--","--","--","--","--","--","--","--","--","--","--",1669,"--","--","--","--","--","--","--","--","--","--"
"Cosmo Specialty Fibers Plant","--","--","--",158705,"--","--",0,"--","--",0,44532,"--","--",0,0,"--","--","--",2850402,"--","--","--","--","--","--","--","--","--"
"Covanta Delano Energy","--",0,"--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Covanta Mendota","--",0,"--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Covington Facility","--",3280757,"--",742525,1358545,2502,279479,"--","--","--",12799,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Cox Waste to Energy","--","--","--",81243,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Craven County Wood Energy LP","--",0,"--",460238,"--","--","--","--","--",0,"--","--","--","--","--","--","--",53923,"--","--","--","--","--","--","--","--","--","--"
"DC Water CHP",1425168,440,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"DG Whitefield LLC","--","--","--",201627,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
