"Plants for multiple sectors,multiple states,multiple primary technologys"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,5&pt=0000g8&pm=&sec=vvo&geo=vvvvvvvvvvvvo&wd=&ws=&wsn=&wt=&freq=A&datecode=2016&tab=consumption-quantity&pin=&rse=0&maptype=0&ltype=pin&ctype=linechart&end=201710&start=200101"
"Mon Jan 29 2018 14:52:16 GMT-0500 (Eastern Standard Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","OBG (Mcf)","NG (Mcf)","AB (short tons)","WDS (short tons)","BLQ (short tons)","DFO (barrels)","BIT (short tons)","KER (barrels)","SLW (short tons)","WO (barrels)","RFO (barrels)","TDF (short tons)","SUN","SUB (short tons)","PC (short tons)","PG (Mcf)","OBL (barrels)","OBS (short tons)","WDL (barrels)","LIG (short tons)","WND","WAT","MSB (short tons)","MSN (short tons)","OTH","JF (barrels)","LFG (Mcf)","OG (Mcf)"
"Kapstone","--","--","--",490813,0,0,185089,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Kaukauna Paper Mill","--",890302,"--",58139,281121,0,94139,"--","--","--",1560,2847,"--","--",23536,"--","--","--","--","--","--","--","--","--","--","--","--","--"
"Kentucky Mills","--",1217458,"--",321692,927498,"--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Kettle Falls Generating Station","--",43682,"--",547411,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Kishwaukee CHP Plant",187542,3187,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Koda Biomass Plant","--",202783,99758,74848,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Leaf River Cellulose LLC","--",403201,"--",391205,1070308,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Longview Fibre","--",1749361,"--",213883,1108980,"--","--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--"
"Lumberton","--","--","--",89232,"--",0,0,"--","--","--","--","--","--","--","--","--","--",12435,"--","--","--","--","--","--","--","--","--","--"
"M L Hibbard","--",8548,"--",248323,"--","--","--","--","--","--","--","--","--",12583,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"MCLB Landfill Gas to Energy",135972,22770,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"MMSD South Shore Wastewater",430484,92983,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Manitowoc","--",12631,"--",20705,"--",4,10471,"--","--","--","--","--","--",0,42500,"--","--","--","--","--","--","--","--","--","--","--","--","--"
"Mansfield Mill","--",3925411,"--",142454,241959,0,0,"--","--",0,0,10490,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Marlboro Mill","--",278,"--",113594,703644,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"McMinnville","--","--","--","--","--",235,"--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--"
"Mead Coated Board","--",3297346,"--",1075183,1035091,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Metro Wastewater Reclamation District",956893,0,"--","--","--","--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--"
"Middlebury College","--",72556,"--",19929,"--","--","--","--","--","--",4259,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"MillerCoors Irwindale Brewery",64868,131483,"--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"MillerCoors Shenandoah Brewery",47330,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Missouri River Wastewater Treatment",213833,6321,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Mobile Energy Services LLC","--",3038950,"--",442259,"--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Monterey Regional Water Cogen Facility",132820,33399,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Mt Poso Cogeneration","--",126731,"--",271690,"--","--",0,"--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--"
"Multitrade Rabun Gap, LLC","--","--","--",191717,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Multitrade of Pittsylvania LP","--","--","--",257343,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"NPI USA Cogeneration Plant","--","--","--",115357,"--",572,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Nacogdoches Power","--","--","--",171665,"--","--","--","--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--"
"Napoleon Biogas",0,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Nippon Dynawave Packaging Longview WA","--",2174622,"--",143189,756796,604,"--","--",52870,"--",6623,"--","--",96249,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Novo BioPower Plant","--",8566,"--",212650,"--","--","--","--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--"
"Okeelanta Cogeneration","--",1345117,956715,73543,"--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Orbit Energy Charlotte",160,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Oshkosh Foundation Rosedale Biodigester LLC",174424,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Oxnard Wastewater Treatment Plant",122912,13923,"--","--","--","--","--","--","--","--","--","--","--","--","--",4,"--","--","--","--","--","--","--","--","--","--","--","--"
"P H Glatfelter","--",0,"--",105693,575441,2294,235516,"--",38280,"--",4527,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"P H Glatfelter Co -Chillicothe Facility","--",1732983,"--",234379,524651,21270,152349,"--","--","--","--",14572,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"PCA-Valdosta Mill","--",553778,"--",370660,598681,"--","--","--","--","--",2357,"--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--"
"PInova Inc","--",230337,"--",258666,"--",0,"--","--","--","--",0,"--","--","--","--","--",2407,"--","--","--","--","--","--","--","--","--","--","--"
"PWD Northeast WPCP Biogas Cogen Plant",465883,48198,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Pacific Rim Dairy Digester",121332,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Pacific-Ultrapower Chinese Station","--","--","--",153878,"--","--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--"
"Packaging Corp of America","--",2305964,"--",550245,1110916,8595,5346,"--","--","--",0,26249,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Papillion Creek Wastewater",139852,9797,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Piedmont Green Power","--","--","--",606186,"--","--","--","--","--","--","--","--","--","--","--","--",807,"--","--","--","--","--","--","--","--","--","--","--"
"Pine Bluff Mill","--",832713,"--",461243,1035727,0,"--","--","--","--",0,783,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Pinetree Power","--","--","--",197267,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Pinetree Power Fitchburg","--",4207,"--",237901,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Pinetree Power Tamworth","--","--","--",207038,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Plainfield Renewable Energy LLC","--","--","--",309606,"--","--","--","--","--","--","--","--","--","--","--","--",3964,"--","--","--","--","--","--","--","--","--","--","--"
"Plant 31 Paper Mill","--",3686079,"--",519563,786237,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Plant No 1 Orange County",646551,32260,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Plant No 2 Orange County",840590,38278,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Plummer Cogen","--","--","--",47436,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Port Townsend Paper","--",104969,"--",113657,297715,"--","--","--",0,62546,"--","--","--","--","--",4181,"--","--","--","--","--","--","--","--","--","--","--","--"
"Port Wentworth Mill",552537,873673,"--",243305,600248,5075,"--","--",4265,"--","--","--","--","--","--","--",38010,"--","--","--","--","--","--","--","--","--","--","--"
"Power Generation Station (PGS) 2",540040,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Rapids Energy Center","--",186317,"--",262736,"--","--","--","--","--","--","--","--","--",42432,"--","--","--","--","--","--","--",0,"--","--","--","--","--","--"
"Rayonier Advanced Materials - Jesup Plant","--",1369930,"--",373988,1540318,0,"--","--","--","--",52399,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"ReEnergy Ashland","--","--","--",461089,"--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"ReEnergy Black River","--","--","--",531267,"--",1594,0,"--","--","--","--",0,"--","--",0,"--","--","--","--","--","--","--","--","--","--",0,"--","--"
"ReEnergy Fort Fairfield","--","--","--",436367,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"ReEnergy Livermore Falls","--","--","--",438044,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"ReEnergy Lyonsdale Biomass","--","--","--",214396,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"ReEnergy Stratton LLC","--","--","--",577035,"--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Red Shield Envir Old Town Facility","--",0,"--",0,0,"--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Riceland Foods Cogeneration Plant","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",141586,"--","--","--","--","--","--","--","--","--","--"
"Richland Center Renewable Energy LLC",288339,2,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Rio Bravo Fresno","--",16123,"--",186279,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Rio Bravo Rocklin","--",23765,"--",164602,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Rio Grande Valley Sugar Growers","--",134635,350267,"--","--",778,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Riverside RWQCP Fuel Cell",41518,3211,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Riverwood International Macon Mill","--",358802,"--",760900,642210,0,0,"--",18100,2984,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Robbins Lumber","--","--","--","--","--",97,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Rock Creek Dairy",226476,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Rock-Tenn Mill","--",799251,"--",78250,730401,2699,33321,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Roseburg Forest Products Biomass","--","--","--",98844,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Rothschild Biomass Cogen Facility","--",24028,"--",420663,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Rumford Cogeneration","--","--","--",229562,685666,0,70490,"--",42563,"--",22569,121191,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Ryegate Power Station","--","--","--",246665,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"S D Warren Westbrook","--","--","--",281674,"--",1899,16670,"--","--","--",4728,"--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--"
"SDS Lumber Gorge Energy Division","--","--","--",40778,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"SF Southeast Cogen Plant",46283,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"SJ/SC WPCP",514021,374843,"--","--","--",567,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,"--"
"SPI Anderson 2","--",2955,"--",141669,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Sappi Cloquet Mill","--",874526,"--",343634,871481,3919,"--","--",36884,"--","--","--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--"
"Sauder Power Plant","--",6140,"--",58155,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Savannah River Site Biomass Cogen","--","--","--",254713,"--",5789,"--","--","--","--","--",4676,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Schiller","--",5582,"--",481071,"--",0,40275,"--","--","--",14618,"--","--","--","--","--","--",1200,"--","--","--","--","--","--","--",720,"--","--"
"Scotia Co-gen Humboldt Redwood Company LLC","--","--","--",152489,"--",748,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Seneca Sustainable Energy LLC","--","--","--",130117,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Sierra Pacific Aberdeen","--","--","--",133657,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Sierra Pacific Burlington Facility","--","--","--",186873,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Sierra Pacific Burney Facility","--","--","--",125544,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Sierra Pacific Lincoln Facility","--","--","--",120838,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Sierra Pacific Quincy Facility","--","--","--",172534,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Sierra Pacific Sonora","--","--","--",72865,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Silicon Valley Clean Water",107,7,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Snider Industries","--","--","--",30020,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Somerset Plant","--",1376670,"--",572330,871560,175,"--","--",58383,"--",41509,21215,"--","--","--","--",5709,"--","--","--","--","--","--","--","--","--","--","--"
"Sonoco Products Co","--",136594,"--",428684,"--","--",14487,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"South Bay Fuel Cell Plant",44390,11691,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"South Columbus Water Resource Facility",57866,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"South District Wastewater Treatment Plt",229852,76638,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",16313,"--"
"Southampton Power Station","--","--","--",477054,"--",3144,0,"--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Southside Water Reclamation Plant",198014,332095,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Springfield Power LLC","--","--","--",217936,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"St Francisville Mill","--",65585,"--","--",437535,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"St Paul Cogeneration","--",387024,0,248280,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Stockton Biomass","--",8861,"--",334856,"--",0,0,"--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--"
"Stoltze CoGen1","--","--","--",63483,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Subregional Water Reclamation Facility",145390,14579,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Synergy Biogas",75799,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Tamarack Energy Partnership","--","--","--",68930,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Telogia Power","--","--","--",188343,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Thermal Energy Development Part LP","--",0,0,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Threemile Digester",304308,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Ticonderoga Mill","--",1626897,"--",17695,211338,"--","--","--","--","--",87118,"--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--",0
"Total Energy Facilities",2587753,15958,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"U S Alliance Coosa Pines","--",2716860,"--","--",556845,0,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"UCSD Fuel Cell Plant",116252,26250,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Verso Paper Quinnesec Mich Mill","--",368533,"--",421971,726847,"--",308,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Verwey-Hanford Dairy Digester #1",39004,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Viking Energy of Lincoln","--",495,"--",178206,"--","--","--","--","--","--","--",11524,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Viking Energy of McBain","--",3962,"--",161821,"--","--","--","--","--","--","--",11990,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Viking Energy of Northumberland","--",0,"--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Village Creek Water Reclamation Facility",287334,2605,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",659871,"--"
"Virginia","--",486614,"--",131904,"--","--","--","--","--","--","--","--","--",64005,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"WWTP Power Generation Station",411324,0,"--","--","--",492,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Wadham Energy LP","--",3561,226374,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Warren Lumber Mill","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Water Reclamation Plant",84551,56,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"West Point Treatment Plant",280975,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"WestRock (TX)","--",2786660,"--",566874,1224165,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"WestRock (WA)","--",126619,"--",189542,525415,0,"--","--","--",5838,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"WestRock Panama City Mill","--",2246965,"--",327689,930087,"--",29841,"--","--","--",73958,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"WestRock-West Point Mill","--",4770162,"--",354328,704546,3630,26694,"--",27741,"--",3840,"--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--"
"Westervelt Moundville Cogen","--","--","--",74666,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Weyerhaeuser Pine Hill Operations","--",1517419,"--",373168,679663,0,209,"--","--","--",7101,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Wheelabrator Ridge Energy","--","--","--",298320,"--","--","--","--","--","--","--",27701,"--","--","--","--","--","--","--","--","--","--","--","--","--","--",184002,"--"
"Wheelabrator Shasta","--",0,0,351790,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Windy Ridge Generating Facility",215306,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Wisconsin Rapids Pulp Mill","--",1653513,"--",242464,699666,"--","--","--","--","--","--","--","--",150143,"--","--",0,"--","--","--","--","--","--","--","--","--","--","--"
"Woodland Biomass Power Ltd","--",8057,"--",192617,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Woodville Renewable Power Project","--","--","--",40879,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Wooster Renewable Energy",87232,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Zeeland Farm Services",118800,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Zero Waste Energy Development Co LLC",210397,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--" 
