"Plants for multiple sectors,multiple states,multiple primary technologys"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,5&pt=0000g8&pm=&sec=vvo&geo=vvvvvvvvvvvvo&wd=&ws=&wsn=&wt=&freq=A&datecode=2014&tab=consumption-mmbtu_unit&start=200101&end=201710&ctype=linechart&ltype=pin&maptype=0&rse=0&pin="
"Mon Feb 05 2018 22:59:08 GMT-0500 (EST)"
"Source: U.S. Energy Information Administration"
"Plant Name","OBG","NG","AB","BLQ","DFO","WDS","SLW","TDF","BIT","SUB","PG","RFO","OBL","WDL","OBS","MSN","MSB","WO","PC","OTH","JF","LFG"
"Columbus MS","--",1,"--",12,6,8,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Cosmo Specialty Fibers Plant","--","--","--","--","--",9,"--","--","--","--","--",6,"--",2,"--","--","--","--","--","--","--","--"
"Covanta Delano Energy","--",1,"--","--","--",13,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Covanta Mendota","--",1,"--","--","--",13,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Covington Facility","--",1,"--",11,6,9,"--","--",26,"--","--",6,"--","--","--","--","--","--","--","--","--","--"
"Cox Waste to Energy","--","--","--","--","--",10,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Craven County Wood Energy LP","--","--","--","--","--",9,"--","--","--","--","--","--","--","--",11,"--","--","--","--","--","--","--"
"DG Whitefield LLC","--","--","--","--","--",8,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Dairyland WTE Plant",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Darrington","--","--","--","--","--",12,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Davenport Water Pollution Control Plant",1,1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"DeRidder Mill","--",1,"--",12,"--",17,"--",31,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Des Moines Wastewater Reclamation Fac",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Desert View Power","--",1,"--","--","--",15,"--",30,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Dillard Complex","--",1,"--","--","--",16,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Domtar - Woodland Mill","--",1,"--",12,"--",8,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Domtar Kingsport Mill","--",1,"--",13,6,9,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Domtar Paper Co LLC Plymouth NC","--",1,"--",12,6,17,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Dorchester Biomass","--","--","--","--","--",10,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Double A Digester",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"E J Stoneman Station","--","--","--","--",6,12,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Eagle Valley Clean Energy LLC Biomass","--","--","--","--","--",17,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Eastern Correctional Institute","--","--","--","--",6,18,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"El Nido Facility","--","--","--","--","--",16,"--","--","--","--",3,"--","--","--","--","--","--","--","--","--","--","--"
"Encina Water Pollution Control",1,1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Enderlin","--","--",16,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Enterprise Sugar Factory","--",1,7,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Evergreen BioPower LLC","--","--","--","--","--",17,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Evergreen Community Power","--",1,"--","--","--",12,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Expera Specialty Solutions - Mosinee Mill","--",1,"--",9,"--",8,5,"--",22,"--","--",6,"--","--","--","--","--","--","--","--","--","--"
"Fairhaven Power","--",1,"--","--","--",8,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Fernandina Plant","--","--","--","--",6,17,"--",30,"--","--","--",6,"--","--",17,"--","--","--","--","--","--","--"
"Finch Paper","--",1,"--","--","--",8,"--","--","--","--","--",6,"--",2,"--","--","--","--","--","--","--","--"
"Flambeau River Papers","--","--","--","--","--",11,"--","--",26,"--","--","--","--","--","--","--","--","--","--","--","--","--"
"Flint River Operations","--",1,"--",12,6,9,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Florence Mill","--",1,"--",13,"--",8,"--","--",25,"--","--",6,"--","--","--","--","--","--","--","--","--","--"
"Florida Power Development","--","--","--","--",6,"--","--","--","--","--","--","--","--","--",10,"--","--","--","--","--","--","--"
"Fourche Creek Wastewater",1,1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Fremont Community Digester, LLC",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"French Island","--",1,"--","--",6,12,"--","--","--","--","--","--","--","--","--",12,7,"--","--","--","--","--"
"GL Dairy Biogas",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Gainesville Renewable Energy Center","--",1,"--","--","--",11,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Gas Utilization Facility",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Gaylord Container Bogalusa","--",1,"--",11,"--",8,"--","--","--","--","--",6,"--","--","--","--","--","--","--","--","--","--"
"Genesee Power Station LP","--",1,"--","--","--",10,"--",32,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Georgia-Pacific Big Island","--","--","--","--","--",8,"--","--",26,"--","--","--","--","--",9,"--","--","--","--","--","--","--"
"Georgia-Pacific Brewton Mill","--",1,"--",12,"--",8,"--","--","--","--","--",6,"--","--","--","--","--","--","--","--","--","--"
"Georgia-Pacific Cedar Springs","--",1,"--",12,6,9,"--","--",26,"--","--",6,"--","--","--","--","--","--","--","--","--","--"
"Georgia-Pacific Consr Prods LP-Naheola","--",1,"--",12,6,9,"--","--",28,"--","--","--","--","--","--","--","--","--","--","--","--","--"
"Georgia-Pacific Corp - Nekoosa Mill","--",1,"--",12,"--",9,"--","--",22,"--","--","--","--","--","--","--","--","--","--","--","--","--"
"Georgia-Pacific Crossett LLC","--",1,"--",12,"--",9,"--",30,"--","--","--","--","--","--","--","--","--",6,"--","--","--","--"
"Georgia-Pacific Monticello Paper","--",1,"--",12,"--",18,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Georgia-Pacific Palatka Operations","--",1,"--",12,"--",9,"--","--","--","--","--",6,"--","--","--","--","--","--","--","--","--","--"
"Georgia-Pacific Port Hudson","--",1,"--",11,"--",9,"--","--","--","--","--","--","--","--","--","--","--","--",31,"--","--","--"
"Georgia-Pacific Toledo Mill","--",1,"--",11,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Georgia-Pacific Wauna Mill","--",1,"--","--","--",16,"--","--","--","--","--","--","--","--",16,"--","--","--","--","--","--","--"
"Gettysburg Energy & Nutrient Rec Facility","--","--","--","--","--","--","--","--","--","--","--","--","--","--",9,"--","--","--","--","--","--","--"
"Grayling Generating Station","--",1,"--","--","--",9,"--",26,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"GreenWhey Energy Inc",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"HL Power","--",1,"--","--","--",17,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Halifax County Biomass","--","--","--","--","--",9,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Harvest Power Orlando",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Hawaiian Comm & Sugar Puunene Mill","--","--",8,"--",6,"--","--","--",22,"--","--","--","--","--","--","--","--",6,"--","--","--","--"
"Hidden View Dairy, LLC",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Hillman Power LLC","--",1,"--","--","--",7,"--",16,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Hoge Lumber","--","--","--","--","--",13,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Hometown Bio Energy LLC",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Hopewell Mill","--",1,"--",12,"--",9,"--","--",26,"--","--",6,"--","--","--","--","--","--","--","--","--","--"
"Hopewell Power Station","--",1,"--","--","--",9,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Howard F Curren Advncd Wastewater Plant",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"IDE 2 LLC",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"IDE 3 LLC",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"IP Springfield Oregon","--",1,"--",12,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Indeck Energy-Alexandria","--","--","--","--","--",9,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Indeck Jonesboro Energy Center","--","--","--","--","--",10,"--","--","--","--",3,"--","--","--","--","--","--","--","--","--","--","--"
"Indeck West Enfield Energy Center","--","--","--","--","--",10,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Ingredion Winston Salem","--",1,"--","--","--",10,"--","--",24,"--","--","--","--","--","--","--","--","--","--","--","--","--"
"Inland Paperboard Packaging Rome","--",1,"--",12,6,9,"--","--",26,"--","--",6,"--","--","--","--","--","--","--",23,"--","--"
"International Paper - Orange","--",1,"--",11,"--",9,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Augusta Mill","--",1,"--",11,6,8,"--","--",26,"--","--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Co. - New Bern Mill","--",1,"--",11,"--","--","--","--","--","--","--",6,"--","--","--","--","--","--","--","--","--","--"
"International Paper Eastover Facility","--","--","--",12,6,8,"--",31,26,"--","--","--","--","--","--","--","--",6,"--","--","--","--"
"International Paper Franklin Mill","--",1,"--",12,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Georgetown Mill","--",1,"--",11,"--",8,"--",30,25,"--","--",6,"--","--","--","--","--","--","--","--","--","--"
"International Paper Pensacola","--",1,"--",12,"--",9,"--","--",25,"--","--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Prattville Mill","--",1,"--",11,"--",9,"--","--",26,"--","--","--","--","--","--","--","--",6,"--","--","--","--"
"International Paper Red River Mill","--",1,"--",11,"--",9,7,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Riegelwood Mill","--",1,"--",12,"--",9,5,"--","--","--","--",6,"--","--","--","--","--","--","--","--","--","--"
"International Paper Savanna Mill","--",1,"--",12,"--",8,"--","--",26,"--","--",6,"--","--","--","--","--","--","--","--","--","--"
"International Paper Texarkana Mill","--",1,"--",12,"--","--","--","--","--","--","--","--","--","--",10,"--","--","--","--","--","--","--"
"International Paper Valliant OK","--",1,"--",12,6,"--","--","--","--","--","--","--","--","--",18,"--","--","--","--","--","--","--"
"International Paper Vicksburg Mill","--",1,9,11,"--",9,"--",30,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Interstate Paper LLC Riceboro","--",1,"--",12,"--",10,"--","--","--","--","--",6,"--","--","--","--","--","--","--","--","--","--"
