"Plants for multiple sectors,multiple states,multiple primary technologys"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,5&pt=0000g8&pm=&sec=vvo&geo=vvvvvvvvvvvvo&wd=&ws=&wsn=&wt=&freq=A&datecode=2015&tab=consumption-mmbtu_unit&pin=&rse=0&maptype=0&ltype=pin&ctype=linechart&end=201710&start=200101"
"Mon Feb 05 2018 22:57:45 GMT-0500 (EST)"
"Source: U.S. Energy Information Administration"
"Plant Name","OBG","NG","AB","WDS","BLQ","DFO","SLW","WO","TDF","BIT","SUB","PG","RFO","OBL","WDL","OBS","MSB","MSN","PC","OTH","JF","LFG"
"Columbia Flooring Melbourne","--","--","--",16,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Columbus MS","--",1,"--",8,12,6,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Cosmo Specialty Fibers Plant","--","--","--",9,"--","--","--","--","--","--","--","--",6,"--",2,"--","--","--","--","--","--","--"
"Covanta Delano Energy","--",1,"--",13,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Covanta Mendota","--","--","--",13,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Covington Facility","--",1,"--",9,12,6,"--","--","--",26,"--","--",6,"--","--","--","--","--","--","--","--","--"
"Cox Waste to Energy","--","--","--",10,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Craven County Wood Energy LP","--","--","--",8,"--","--","--","--","--","--","--","--","--","--","--",11,"--","--","--","--","--","--"
"DC Water CHP",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"DG Whitefield LLC","--","--","--",8,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Dairyland WTE Plant",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Darrington","--","--","--",12,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Davenport Water Pollution Control Plant",1,1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"DeRidder Mill","--",1,"--",18,12,"--","--","--",31,"--","--","--","--","--","--","--","--","--","--","--","--","--"
"Deer Island Treatment Plant",1,"--","--","--","--",6,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
