"Plants for multiple sectors,multiple states,multiple primary technologys"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,5&pt=0000g8&pm=&sec=vvo&geo=vvvvvvvvvvvvo&wd=&ws=&wsn=&wt=&freq=A&datecode=2014&tab=consumption-quantity&pin=&rse=0&maptype=0&ltype=pin&ctype=linechart&end=201710&start=200101"
"Mon Feb 05 2018 22:59:31 GMT-0500 (EST)"
"Source: U.S. Energy Information Administration"
"Plant Name","OBG (Mcf)","NG (Mcf)","AB (short tons)","WDS (short tons)","DFO (barrels)","BLQ (short tons)","BIT (short tons)","KER (barrels)","RFO (barrels)","SLW (short tons)","WO (barrels)","PC (short tons)","ANT (short tons)","TDF (short tons)","SUN","SUB (short tons)","PG (Mcf)","OBL (barrels)","WDL (barrels)","OBS (short tons)","LIG (short tons)","WAT","MSN (short tons)","MSB (short tons)","OTH","LFG (Mcf)","PUR","WC (short tons)","JF (barrels)"
"International Paper Red River Mill","--",1466703,"--",386364,"--",548563,"--","--","--",29130,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Riegelwood Mill","--",2459018,"--",189436,"--",1353550,0,"--",48736,14206,"--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Savanna Mill","--",224395,"--",232692,0,1148281,180764,"--",5762,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Texarkana Mill","--",2166321,"--",0,"--",1058384,"--","--",0,"--","--","--","--","--","--","--","--","--","--",467016,"--","--","--","--","--","--","--","--","--"
"International Paper Valliant OK","--",4591360,"--",0,607,941287,"--","--",0,"--","--",0,"--","--","--","--","--","--","--",199072,"--","--","--","--","--","--","--","--","--"
"International Paper Vicksburg Mill","--",904105,21055,268905,"--",535646,"--","--",0,"--","--","--","--",6779,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Interstate Paper LLC Riceboro","--",242739,"--",177305,0,274251,"--","--",2501,"--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"J C McNeil","--",35882,"--",440804,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"JC-Biomethane, LLC",120827,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"John H Warden","--",2989,"--",179196,0,"--","--","--","--","--","--","--","--",11780,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Johnsonburg Mill","--",181263,"--","--",487,422790,150984,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Kaiser Ontario",39118,13039,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"KapStone Kraft Paper Corp","--",204783,"--",76452,722,"--",107888,"--",3127,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Kaukauna Paper Mill","--",376631,"--",65659,0,264052,115772,"--",683,"--","--",28946,"--",3841,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Kentucky Mills","--",969512,"--",359618,"--",854878,"--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Kettle Falls Generating Station","--",49174,"--",457302,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Kishwaukee CHP Plant",152582,10487,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Koda Biomass Plant","--",250696,57920,87547,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Leaf River Cellulose LLC","--",312314,"--",365253,"--",1029870,"--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--"
"Lincoln Paper & Tissue","--","--","--",126351,616,0,"--",0,3147,4630,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Longview Fibre","--",1438372,"--",233853,"--",1129681,"--","--","--","--",0,"--","--","--","--","--","--",36,3,0,"--","--","--","--","--","--","--","--","--"
"M L Hibbard","--",56760,"--",241730,"--","--","--","--","--","--","--","--","--","--","--",37563,"--","--","--","--","--","--","--","--","--","--","--","--","--"
"MCLB Landfill Gas to Energy",141529,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"MMSD South Shore Wastewater",281018,5869,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Manitowoc","--",10825,"--",34614,10,"--",11383,"--","--","--","--",44849,"--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--"
"Mansfield Mill","--",3436825,"--",141741,0,215729,0,"--",9796,"--",0,"--","--",11855,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Marlboro Mill","--",100,"--",134213,"--",722575,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"McMinnville","--","--","--","--",1281,"--","--","--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--"
"Mead Coated Board","--",3769175,"--",1020940,1192,1089537,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Medford Operation","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Metro Wastewater Reclamation District",963263,11390,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Middlebury College","--","--","--",24545,"--","--","--","--",13112,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"MillerCoors Irwindale Brewery",98739,501705,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"MillerCoors Shenandoah Brewery",44753,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Missouri River Wastewater Treatment",212781,3036,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Mobile Energy Services LLC","--",2006947,"--",470507,"--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Monterey Regional Water Cogen Facility",112926,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Mt Poso Cogeneration","--",118555,"--",257713,"--","--",0,"--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Multitrade Rabun Gap, LLC","--","--","--",205535,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Multitrade of Pittsylvania LP","--","--","--",538837,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"NPI USA Cogeneration Plant","--","--","--",21462,750,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Nacogdoches Power","--","--","--",268175,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--"
"Napoleon Biogas",29900,26850,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Nippon Dynawave Packaging Longview WA","--",1195693,"--",180888,0,765942,"--","--",5344,62821,"--","--","--","--","--",118185,"--","--","--","--","--","--","--","--","--","--","--","--","--"
"Novo BioPower Plant","--",7162,"--",192174,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--",0,"--","--","--","--"
"Okeelanta Cogeneration","--",1034184,818086,360193,90,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Oshkosh Foundation Rosedale Biodigester LLC",175200,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Oxnard Wastewater Treatment Plant",132253,14414,"--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--"
"P H Glatfelter","--","--","--",112768,1173,548368,249967,"--",4893,34778,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"P H Glatfelter Co -Chillicothe Facility","--",186284,"--",206375,26046,508711,277294,"--","--","--","--","--","--",7536,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"PInova Inc","--",189913,"--",214721,0,"--","--","--",0,"--","--","--","--","--","--","--","--",5231,"--","--","--","--","--","--","--","--","--","--","--"
"POTB Digester",38200,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"PWD Northeast WPCP Biogas Cogen Plant",417200,110600,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Pacific-Ultrapower Chinese Station","--","--","--",211413,"--","--","--","--","--","--","--","--","--","--","--","--",1893,"--","--","--","--","--","--","--","--","--","--","--","--"
"Packaging Corp of America","--",1273093,"--",563801,3349,1076030,27584,"--",0,"--",0,"--","--",21560,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Papillion Creek Wastewater",100273,846,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Piedmont Green Power","--","--","--",538769,"--","--","--","--","--","--","--","--","--","--","--","--","--",1713,"--","--","--","--","--","--","--","--","--","--","--"
"Pine Bluff Mill","--",1515331,"--",541062,0,1082471,"--","--",0,0,"--","--","--",64,"--","--","--","--","--","--","--","--","--","--","--","--",0,"--","--"
"Pinetree Power","--","--","--",242138,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Pinetree Power Fitchburg","--",5925,"--",237615,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--",0,"--","--","--"
"Pinetree Power Tamworth","--","--","--",326839,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Plainfield Renewable Energy LLC","--","--","--",142329,"--","--","--","--","--","--","--","--","--","--","--","--","--",4392,"--","--","--","--","--","--","--","--","--","--","--"
"Plant No 1 Orange County",668164,39399,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Plant No 2 Orange County",786863,21650,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Plummer Cogen","--","--","--",47999,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Port Townsend Paper","--","--","--",94815,"--",315700,"--","--","--",8910,64049,"--","--","--","--","--",0,"--","--","--","--",0,"--","--","--","--","--","--","--"
"Port Wentworth Mill",19604791,569164,"--",266076,6421,713509,"--","--","--",7635,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Power Generation Station (PGS) 2",547256,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Prairies Edge Generating Facility",146165,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"R & R Lumber","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--"
"RPI Fuel Cell LLC",18326,96867,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Rapids Energy Center","--",363341,"--",195340,"--","--","--","--","--","--","--","--","--","--","--",60239,"--","--","--","--","--",0,"--","--","--","--","--","--","--"
"Rayonier Advanced Materials - Jesup Plant","--",1148761,"--",448040,0,1411620,"--","--",118436,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"ReEnergy Ashland","--","--","--",63677,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"ReEnergy Black River","--","--","--",453816,5118,"--",0,"--","--","--","--",0,"--",20163,"--","--","--","--","--","--","--","--","--","--","--","--","--",0,0
"ReEnergy Chateaugay Power Station","--","--","--",0,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"ReEnergy Fort Fairfield","--","--","--",382288,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"ReEnergy Livermore Falls","--","--","--",485744,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",3768,"--","--","--","--","--","--","--","--","--"
"ReEnergy Lyonsdale Biomass","--","--","--",253899,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"ReEnergy Stratton LLC","--","--","--",518539,329,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Red Shield Envir Old Town Facility","--",326922,"--",141730,0,155792,"--","--",2425,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Riceland Foods Cogeneration Plant","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",124310,"--","--","--","--","--","--","--","--","--"
"Richland Center Renewable Energy LLC",121994,1993,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Rio Bravo Fresno","--",14497,"--",193011,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Rio Bravo Rocklin","--",8948,"--",200276,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Rio Grande Valley Sugar Growers","--",108633,254745,"--",422,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Riverwood International Macon Mill","--",252644,"--",923260,0,683523,2446,"--",1246,6852,1879,"--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--"
"Robbins Lumber","--","--","--","--",139,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Rock Creek Dairy",316340,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Rock-Tenn Mill","--",344017,"--",145238,4332,715745,49374,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"RockTenn Coshocton Mill","--",658431,"--",290903,"--","--","--","--","--",60862,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Roseburg Forest Products Biomass","--","--","--",69855,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Rothschild Biomass Cogen Facility","--",367959,"--",408482,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Ryegate Power Station","--","--","--",225546,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"S D Warren Westbrook","--","--","--",339060,3011,"--",32504,"--",9200,"--","--","--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--"
"SDS Lumber Gorge Energy Division","--","--","--",36343,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"SF Southeast Cogen Plant",178014,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"SJ/SC WPCP",350412,538746,"--","--",688,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,"--","--","--"
"SPFT - Newberg Cogen","--",35606,"--",169861,"--","--","--","--","--",0,"--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Sappi Cloquet Mill","--",782748,"--",430350,4329,857062,"--","--","--",27259,"--","--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--"
"Sauder Power Plant","--",5588,"--",55716,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Savannah River Site Biomass Cogen","--","--","--",253760,9894,"--","--","--","--","--","--","--","--",5402,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Schiller","--",4098,"--",505472,398,"--",93905,"--",8549,"--","--","--","--","--","--","--","--","--","--",891,"--","--","--","--","--","--","--","--",322
"Scotia Co-gen Humboldt Redwood Company LLC","--","--","--",141629,588,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Seneca Sustainable Energy LLC","--","--","--",126140,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Shasta Renewable Resources Plant","--",4400,"--",41393,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Sierra Pacific Aberdeen","--","--","--",132346,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Sierra Pacific Anderson Facility","--","--","--",67376,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Sierra Pacific Burlington Facility","--","--","--",168587,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Sierra Pacific Burney Facility","--","--","--",147731,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Sierra Pacific Lincoln Facility","--","--","--",140484,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Sierra Pacific Quincy Facility","--","--","--",207506,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Sierra Pacific Sonora","--","--","--",75841,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Snider Industries","--","--","--",23980,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Somerset Plant","--","--","--",870669,3879,828855,"--","--",88792,55811,"--","--","--",36011,"--","--","--",3217,"--","--","--","--","--","--","--","--","--","--","--"
"Sonoco Products Co","--",274929,"--",400831,"--","--",14583,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"South Bay Fuel Cell Plant",18782,67672,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"South Columbus Water Resource Facility",16900,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"South District Wastewater Treatment Plt",117520,82116,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,1694,"--","--","--"
"Southampton Power Station","--","--","--",409365,3674,"--",0,"--",0,"--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Southside Water Reclamation Plant",214998,424470,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Springfield Power LLC","--","--","--",234697,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"St Francisville Mill","--",1613332,"--","--","--",385040,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"St Paul Cogeneration","--",576467,0,261276,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Stockton Biomass","--",104304,"--",274984,0,"--",0,"--","--","--","--",0,"--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Stoltze CoGen1","--","--","--",52537,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Subregional Water Reclamation Facility",110435,2097,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Synata Hugoton",0,317985,2342,"--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,"--",2521,"--","--","--","--","--","--","--","--","--"
"Synergy Biogas",151266,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Tamarack Energy Partnership","--","--","--",75300,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Telogia Power","--","--","--",186349,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Thermal Energy Development Part LP","--",23809,40543,79213,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Threemile Digester",685000,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Total Energy Facilities",2985713,20770,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"U S Alliance Coosa Pines","--",2060913,"--","--",1373,582152,28341,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"UCSD Fuel Cell Plant",47878,120322,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"UTS SJ1 LLC",50253,52518,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Verso Paper Quinnesec Mich Mill","--",458110,"--",500476,"--",683240,808,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Viking Energy of Lincoln","--",1262,"--",180356,"--","--","--","--","--","--","--","--","--",11140,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Viking Energy of McBain","--",1876,"--",161936,"--","--","--","--","--","--","--","--","--",11460,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Village Creek Water Reclamation Facility",427423,6920,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",685755,"--","--","--"
"WPS Power Niagara","--",42949,"--",86912,"--","--",15311,"--","--","--",2,0,"--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"WSACC Power Generation Facility","--","--","--","--","--","--","--","--","--",3529,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"WWTP Power Generation Station",372419,0,"--","--",576,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Wadham Energy LP","--",5490,194574,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Warm Springs Forest Products","--","--","--",18461,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Warren Lumber Mill","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Water Reclamation Plant",66876,27,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"West Point Treatment Plant",282676,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"WestRock (TX)","--",1834581,"--",624289,0,1269886,"--","--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--"
"WestRock (WA)","--",75630,"--",202434,0,532691,"--","--",0,"--",4324,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"WestRock Panama City Mill","--",1346935,"--",384155,"--",941126,44337,"--",45450,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"WestRock-West Point Mill","--",4371419,"--",502945,10700,717904,25213,"--",6230,30097,"--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--"
"Westervelt Moundville Cogen","--","--","--",39400,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Westrock Hodge (LA)","--",3658809,"--",2253203,"--",1671010,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Weyerhaeuser Pine Hill Operations","--",1675638,"--",397088,0,643017,3593,"--",14149,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Wheelabrator Ridge Energy","--","--","--",326448,"--","--","--","--","--","--","--","--","--",34149,"--","--","--","--","--","--","--","--","--","--","--",307441,"--","--","--"
"Wheelabrator Shasta","--",0,0,405286,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Windy Ridge Generating Facility",244105,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Wisconsin Rapids Pulp Mill","--",918897,"--",226851,"--",768027,"--","--","--","--","--","--","--","--","--",151994,"--",31400,"--","--","--","--","--","--","--","--","--","--","--"
"Woodland Biomass Power Ltd","--",22323,"--",179271,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Woodville Renewable Power Project","--","--","--",32359,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Wooster Renewable Energy",77952,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Zeeland Farm Services",110310,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--" 
