"Plants for multiple sectors,multiple states,multiple primary technologys"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,5&pt=0000g8&pm=&sec=vvo&geo=vvvvvvvvvvvvo&wd=&ws=&wsn=&wt=&freq=A&datecode=2015&tab=consumption-quantity&start=200101&end=201710&ctype=linechart&ltype=pin&maptype=0&rse=0&pin="
"Mon Feb 05 2018 22:56:37 GMT-0500 (EST)"
"Source: U.S. Energy Information Administration"
"Plant Name","OBG (Mcf)","NG (Mcf)","AB (short tons)","DFO (barrels)","WDS (short tons)","BLQ (short tons)","BIT (short tons)","KER (barrels)","RFO (barrels)","SLW (short tons)","WO (barrels)","TDF (short tons)","SUN","PC (short tons)","SUB (short tons)","PG (Mcf)","OBL (barrels)","PUR","WDL (barrels)","OBS (short tons)","LIG (short tons)","WND","WAT","ANT (short tons)","MSB (short tons)","MSN (short tons)","OTH","JF (barrels)","WC (short tons)","LFG (Mcf)","OG (Mcf)"
"CPI USA NC Roxboro","--","--","--","--",180781,"--",15128,"--","--","--","--",59980,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Cadillac Renewable Energy","--",616,"--","--",242583,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Caltech Central",13899,41700,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Campbell Industrial Park","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--",161638,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Cargill B6 Biofactory",149963,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Cargill Dry Creek Biofactory",140815,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Cargill Kettle Butte Biofactory",113545,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Central District Wastewater Treat Plant",303577,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Central Valley Ag Power",17727,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"City of Tulare Water Facility",40428,0,"--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Clean Fuel Dane Community Digester",127869,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Clearwater Paper IPP Lewiston","--",1635599,"--",0,252591,984264,"--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Clewiston Sugar House","--","--",2092882,8908,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Co-Gen II LLC","--",0,"--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Co-Gen LLC","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Collins Pine Project","--","--","--",0,66672,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Collinwood BioEnergy Facility",63318,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Columbia Flooring Melbourne","--","--","--","--",12630,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Columbus MS","--",572925,"--",10231,469930,1012555,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Consumer Products (Camas) LLC","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--"
"Cosmo Specialty Fibers Plant","--","--","--","--",137723,"--","--","--",35352,"--",0,"--","--","--","--","--","--","--",2810951,"--","--","--","--","--","--","--","--","--","--","--","--"
"Covanta Delano Energy","--",45814,"--","--",284580,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Covanta Mendota","--",0,"--","--",6413,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Covington Facility","--",3014249,"--",7558,1155003,1251175,314303,"--",21035,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Cox Waste to Energy","--","--","--","--",75794,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Craven County Wood Energy LP","--","--","--","--",596326,"--","--","--","--","--",0,"--","--","--","--","--","--","--","--",21291,"--","--","--","--","--","--","--","--","--","--","--"
"DC Water CHP",906116,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"DG Whitefield LLC","--","--","--","--",253002,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Dairyland WTE Plant",284375,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Darrington","--","--","--","--",59290,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Davenport Water Pollution Control Plant",133875,685,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"DeRidder Mill","--",2502060,"--",0,335832,722115,"--","--","--","--","--",7685,"--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--"
"Deer Island Treatment Plant",1638,"--","--",13124,"--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--",0,0,"--","--","--","--","--","--","--","--"
"Des Moines Wastewater Reclamation Fac",270273,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Desert View Power","--",51364,"--","--",341418,"--","--","--","--","--","--",62,"--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Dillard Complex","--",350161,"--","--",310560,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Dinuba Energy","--",1990,16718,"--",41164,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Domtar - Woodland Mill","--",1469977,"--","--",175287,524344,"--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--"
"Domtar Kingsport Mill","--",122512,"--",5175,320542,531386,"--","--",0,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Domtar Paper Co LLC Plymouth NC","--",151423,"--",11380,440390,1035974,0,"--",0,0,"--","--","--","--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--"
"Dorchester Biomass","--","--","--","--",265850,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Double A Digester",572319,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Durham AWTF",39876,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Eagle Valley Clean Energy LLC Biomass","--","--","--","--",1793,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Eastern Correctional Institute","--",0,"--",567,53617,"--",0,"--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"El Nido Facility","--","--","--","--",86181,"--","--","--","--","--","--","--","--","--","--",783,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Encina Water Pollution Control",198084,17123,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Enderlin","--",0,59922,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Enterprise Sugar Factory","--",49854,632975,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Escanaba Mill","--",4251634,"--","--",364948,645491,30815,"--",10636,38650,"--",23365,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Evergreen BioPower LLC","--","--","--","--",73625,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Evergreen Community Power","--",40020,"--","--",230352,"--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--"
"Expera Specialty Solutions - Mosinee Mill","--",74263,"--",0,39244,238815,75055,"--",2274,13410,"--","--","--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--"
"FCPC Renewable Generation",118000,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Fairhaven Power","--",61789,"--","--",239367,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Fernandina Beach Mill","--",957657,"--",17492,371316,904030,230605,"--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Fernandina Plant","--","--","--",997,203148,"--","--","--",18199,"--","--",4701,"--","--","--","--","--","--","--",258400,"--","--","--","--","--","--","--","--","--","--","--"
"Finch Paper","--",1051222,"--","--",218351,"--","--","--",46,"--","--","--","--","--","--","--","--","--",1282224,"--","--","--","--","--","--","--","--","--","--","--","--"
"Flambeau River Papers","--","--","--",0,4005,"--",332,"--","--","--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--"
"Flint River Operations","--",491308,"--",16835,395033,32053,"--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Florence Mill","--",274804,"--","--",727261,539044,60015,"--",9104,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Florida Power Development","--","--","--",16546,"--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--",377196,"--","--","--","--","--","--","--","--","--","--","--"
"Fourche Creek Wastewater",94796,30580,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Fremont Community Digester, LLC",2686,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"French Island","--",3966,"--",1537,62001,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",39561,22258,"--","--","--","--","--"
"GL Dairy Biogas",204268,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Gainesville Renewable Energy Center","--",9475,"--","--",463454,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Gas Utilization Facility",615744,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--"
"Gaylord Container Bogalusa","--",884057,"--",0,1058910,794875,0,"--",1708,"--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Genesee Power Station LP","--",2817,"--","--",107639,"--","--","--","--","--","--",2024,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Georgia-Pacific Big Island","--",190536,"--",0,184925,"--",0,"--","--","--","--","--","--","--","--","--","--","--","--",11904,"--","--",0,"--","--","--","--","--","--","--","--"
"Georgia-Pacific Brewton Mill","--",4237404,"--",0,253110,613162,"--","--",67122,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--"
"Georgia-Pacific Cedar Springs","--",1459493,"--",15112,651338,1071554,130171,"--",24473,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Georgia-Pacific Consr Prods LP-Naheola","--",3945745,"--",4549,98570,789300,98425,"--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Georgia-Pacific Corp - Nekoosa Mill","--",1037548,"--","--","--",95651,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--"
"Georgia-Pacific Crossett LLC","--",5233370,"--",8553,532900,750243,"--","--","--","--",53416,418,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Georgia-Pacific Monticello Paper","--",1579528,"--","--",65671,266992,"--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Georgia-Pacific Palatka Operations","--",4014787,"--","--",245036,649068,"--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Georgia-Pacific Port Hudson","--",3565287,"--","--",223056,919795,0,"--","--","--","--","--","--",183556,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Georgia-Pacific Toledo Mill","--",2007415,"--","--","--",437534,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Georgia-Pacific Wauna Mill","--",894450,"--","--","--",468791,"--","--",0,0,"--","--","--","--","--","--","--","--","--",77610,"--","--","--","--","--","--","--","--","--","--","--"
"Gettysburg Energy & Nutrient Rec Facility","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",2972,"--","--","--","--","--","--","--","--","--","--","--"
