"Plants for multiple sectors,multiple states,multiple primary technologys"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,5&pt=0000g8&pm=&sec=vvo&geo=vvvvvvvvvvvvo&wd=&ws=&wsn=&wt=&freq=A&datecode=2015&tab=consumption-quantity&start=200101&end=201710&ctype=linechart&ltype=pin&maptype=0&rse=0&pin="
"Mon Feb 05 2018 22:56:37 GMT-0500 (EST)"
"Source: U.S. Energy Information Administration"
"Plant Name","OBG (Mcf)","NG (Mcf)","AB (short tons)","DFO (barrels)","WDS (short tons)","BLQ (short tons)","BIT (short tons)","KER (barrels)","RFO (barrels)","SLW (short tons)","WO (barrels)","TDF (short tons)","SUN","PC (short tons)","SUB (short tons)","PG (Mcf)","OBL (barrels)","PUR","WDL (barrels)","OBS (short tons)","LIG (short tons)","WND","WAT","ANT (short tons)","MSB (short tons)","MSN (short tons)","OTH","JF (barrels)","WC (short tons)","LFG (Mcf)","OG (Mcf)"
"International Paper Prattville Mill",0,2142869,"--",0,485769,992430,50756,"--","--","--",27246,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Red River Mill","--",1998647,"--","--",397251,538068,"--","--","--",28715,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Riegelwood Mill","--",2297887,"--","--",45843,1187316,0,"--",38279,11387,"--","--","--","--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--"
"International Paper Riverdale Mill","--",5175648,"--",0,222661,651906,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Savanna Mill","--",4567026,"--",0,191855,1096527,29022,"--",741,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Texarkana Mill","--",2555265,"--","--",0,993212,"--","--",0,"--","--","--","--","--","--","--","--","--","--",496343,"--","--","--","--","--","--","--","--","--","--","--"
"International Paper Valliant OK","--",5811418,"--",0,0,881590,"--","--",0,"--","--","--","--",0,"--","--","--","--","--",160302,"--","--","--","--","--","--","--","--","--","--","--"
"International Paper Vicksburg Mill","--",2047751,2438,"--",255548,538888,"--","--",0,"--","--",8274,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Interstate Paper LLC Riceboro","--",290818,"--",0,223550,276310,"--","--",675,"--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"J C McNeil","--",19178,"--",0,441256,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"JC-Biomethane, LLC",111262,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"John H Warden","--",4218,"--",0,155868,"--","--","--","--","--","--",13565,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Johnsonburg Mill","--",363211,"--",0,"--",422570,134116,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Kaiser Ontario",7651,22954,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"KapStone Kraft Paper Corp","--",247117,0,1229,88479,563196,95358,"--",2046,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Kaukauna Paper Mill","--",348000,"--",0,65234,257999,114307,"--",867,"--","--",3595,"--",28575,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Kentucky Mills","--",1096068,"--","--",329945,880257,"--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Kettle Falls Generating Station","--",52441,"--","--",521529,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Kishwaukee CHP Plant",129513,3934,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Koda Biomass Plant","--",163514,100878,"--",69484,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Leaf River Cellulose LLC","--",447510,"--","--",342267,1064982,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Longview Fibre","--",1484413,"--","--",243253,1034919,"--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Lumberton","--","--","--",0,44940,"--",0,"--","--","--","--","--","--","--","--","--","--","--","--",1311,"--","--","--","--","--","--","--","--","--","--","--"
"M L Hibbard","--",59437,"--","--",212304,"--","--","--","--","--","--","--","--","--",8445,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"MCLB Landfill Gas to Energy",139700,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"MMSD South Shore Wastewater",314107,2028,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Manitowoc","--",8234,"--",3,24759,"--",9267,"--","--","--","--","--","--",36467,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Mansfield Mill","--",3524048,"--",0,161837,225978,0,"--",104,"--",0,9853,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Marlboro Mill","--",220,"--","--",124682,716685,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"McMinnville","--","--","--",303,"--","--","--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Mead Coated Board","--",3618411,"--",0,1091330,1097924,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Metro Wastewater Reclamation District",961520,20921,"--","--","--","--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Middlebury College","--",12788,"--","--",22124,"--","--","--",12984,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"MillerCoors Irwindale Brewery",84313,236141,"--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"MillerCoors Shenandoah Brewery",32764,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Missouri River Wastewater Treatment",176147,2531,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Mobile Energy Services LLC","--",3060746,"--","--",418608,"--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Monterey Regional Water Cogen Facility",115696,44881,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Mt Poso Cogeneration","--",136171,"--","--",271818,"--",0,"--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Multitrade Rabun Gap, LLC","--","--","--","--",212380,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Multitrade of Pittsylvania LP","--","--","--","--",430803,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"NPI USA Cogeneration Plant","--","--","--",2108,130989,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Nacogdoches Power","--","--","--","--",145872,"--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--"
"Napoleon Biogas",11993,31765,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Nippon Dynawave Packaging Longview WA","--",1647308,"--",0,157941,730488,"--","--",11537,54705,"--","--","--","--",99269,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Novo BioPower Plant","--",8412,"--","--",209908,"--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--"
"Okeelanta Cogeneration","--",1195495,856565,47,319614,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Oshkosh Foundation Rosedale Biodigester LLC",156743,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Oxnard Wastewater Treatment Plant",114219,15395,"--","--","--","--","--","--","--","--","--","--","--","--","--",6,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"P H Glatfelter","--","--","--",2645,84072,468756,240824,"--",11030,30166,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"P H Glatfelter Co -Chillicothe Facility","--",358288,"--",29785,230198,483819,246674,"--","--","--","--",8116,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"PCA-Valdosta Mill","--",295837,"--","--",375484,596590,"--","--",1452,"--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"PInova Inc","--",2113164,"--",0,238801,"--","--","--",0,"--","--","--","--","--","--","--",4399,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"POTB Digester",60571,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"PWD Northeast WPCP Biogas Cogen Plant",413390,49950,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Pacific Rim Dairy Digester",112560,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Pacific-Ultrapower Chinese Station","--","--","--","--",221316,"--","--","--","--","--","--","--","--","--","--",2549,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Packaging Corp of America","--",1434805,"--",4516,506144,1101513,25682,"--",0,"--","--",31719,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Papillion Creek Wastewater",95000,3996,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Piedmont Green Power","--","--","--","--",555193,"--","--","--","--","--","--","--","--","--","--","--",2495,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Pine Bluff Mill","--",1018625,"--",0,448037,1024886,"--","--",0,"--","--",330,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Pinetree Power","--","--","--","--",189335,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Pinetree Power Fitchburg","--",4472,"--","--",217539,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Pinetree Power Tamworth","--","--","--","--",323176,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Plainfield Renewable Energy LLC","--","--","--","--",271955,"--","--","--","--","--","--","--","--","--","--","--",2957,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Plant No 1 Orange County",628968,40944,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Plant No 2 Orange County",786503,26734,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Plummer Cogen","--","--","--","--",39707,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Port Townsend Paper","--","--","--","--",110250,288686,"--","--","--",0,78949,"--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Port Wentworth Mill",16509067,13708383,"--",6217,209490,1493324,"--","--","--",56968,"--","--","--","--","--","--",36662,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Power Generation Station (PGS) 2",532580,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Prairies Edge Generating Facility",134081,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"R & R Lumber","--","--","--","--",18767,"--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"RPI Fuel Cell LLC",0,99378,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Rapids Energy Center","--",190288,"--","--",246703,"--","--","--","--","--","--","--","--","--",48290,"--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--"
"Rayonier Advanced Materials - Jesup Plant","--",1451461,"--",0,438928,1473713,"--","--",124593,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"ReEnergy Ashland","--","--","--",0,469135,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"ReEnergy Black River","--","--","--",3243,456780,"--",0,"--","--","--","--",6300,"--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--",0,0,"--","--"
"ReEnergy Chateaugay Power Station","--","--","--",0,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"ReEnergy Fort Fairfield","--","--","--","--",397969,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"ReEnergy Livermore Falls","--","--","--","--",479666,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"ReEnergy Lyonsdale Biomass","--","--","--","--",236978,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"ReEnergy Stratton LLC","--","--","--",0,463342,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Red Shield Envir Old Town Facility","--",546798,"--",0,125504,200125,"--","--",24749,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Riceland Foods Cogeneration Plant","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",97110,"--","--","--","--","--","--","--","--","--","--","--"
"Richland Center Renewable Energy LLC",277220,2,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Rio Bravo Fresno","--",29619,"--","--",181803,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Rio Bravo Rocklin","--",21564,"--","--",186138,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Rio Grande Valley Sugar Growers","--",150459,362405,378,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Riverwood International Macon Mill","--",583830,"--",0,797922,645099,1596,"--",0,11287,2603,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Robbins Lumber","--","--","--",36,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Rock Creek Dairy",238944,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Rock-Tenn Mill","--",815578,"--",11063,99690,687221,41247,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Roseburg Forest Products Biomass","--","--","--","--",83562,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Rothschild Biomass Cogen Facility","--",32487,"--","--",443005,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Rumford Cogeneration","--","--","--",0,241274,639574,74042,"--",30750,23464,"--",97388,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Ryegate Power Station","--","--","--","--",249855,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"S D Warren Westbrook","--","--","--",1282,287071,"--",29692,"--",6544,"--","--","--","--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--"
"SDS Lumber Gorge Energy Division","--","--","--","--",43355,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"SF Southeast Cogen Plant",129883,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"SJ/SC WPCP",550960,497729,"--",256,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,"--"
"SPFT - Newberg Cogen","--",35188,"--","--",157478,"--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"SPI Anderson 2","--",2418,"--","--",47115,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Sappi Cloquet Mill","--",771155,"--",1833,403851,844861,"--","--","--",28793,"--","--","--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--"
"Sauder Power Plant","--",8002,"--","--",55288,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Savannah River Site Biomass Cogen","--","--","--",3210,274163,"--","--","--","--","--","--",5148,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Schiller","--",8266,"--",0,490507,"--",88334,"--",14959,"--","--","--","--","--","--","--","--","--","--",958,"--","--","--","--","--","--","--",549,"--","--","--"
"Scotia Co-gen Humboldt Redwood Company LLC","--","--","--",0,2674,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Seneca Sustainable Energy LLC","--","--","--","--",127567,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Sierra Pacific Aberdeen","--","--","--","--",135153,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Sierra Pacific Anderson Facility","--","--","--","--",37958,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Sierra Pacific Burlington Facility","--","--","--","--",186797,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Sierra Pacific Burney Facility","--","--","--","--",141621,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Sierra Pacific Lincoln Facility","--","--","--","--",131495,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Sierra Pacific Quincy Facility","--","--","--","--",194553,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Sierra Pacific Sonora","--","--","--","--",78160,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Silicon Valley Clean Water",54000,3000,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Snider Industries","--","--","--","--",27153,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Somerset Plant","--","--","--",2942,606393,809658,"--","--",73057,45057,"--",27266,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Sonoco Products Co","--",136319,"--","--",422492,"--",9674,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"South Bay Fuel Cell Plant",64965,14536,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"South Columbus Water Resource Facility",70826,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"South District Wastewater Treatment Plt",140921,65440,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",7249,"--"
"Southampton Power Station","--","--","--",1898,479078,"--",0,"--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Southside Water Reclamation Plant",302044,282221,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Springfield Power LLC","--","--","--","--",222933,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"St Francisville Mill","--",137570,"--","--","--",402815,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"St Paul Cogeneration","--",366423,0,"--",244546,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Stockton Biomass","--",17908,"--",0,334418,"--",0,"--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Stoltze CoGen1","--","--","--","--",64802,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Subregional Water Reclamation Facility",125896,4995,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Synergy Biogas",86729,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Tamarack Energy Partnership","--","--","--","--",71955,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Telogia Power","--","--","--","--",171610,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Thermal Energy Development Part LP","--",0,0,"--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Threemile Digester",675000,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Ticonderoga Mill","--",977854,"--","--",13022,202267,"--","--",123289,"--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--",0
"Total Energy Facilities",2687957,40834,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"U S Alliance Coosa Pines","--",2460533,"--",0,"--",552479,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"UCSD Fuel Cell Plant",137831,32969,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"UTS SJ1 LLC",39600,20011,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Viking Energy of Lincoln","--",854,"--","--",177922,"--","--","--","--","--","--",11428,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Viking Energy of McBain","--",5464,"--","--",161217,"--","--","--","--","--","--",12798,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Viking Energy of Northumberland","--",0,"--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Village Creek Water Reclamation Facility",371527,2858,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",649449,"--"
"Virginia","--",542665,"--","--",114573,"--","--","--","--","--","--","--","--","--",57100,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"WPS Power Niagara","--",0,"--","--",0,"--",0,"--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"WSACC Power Generation Facility","--","--","--","--","--","--","--","--","--",9517,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"WWTP Power Generation Station",470615,0,"--",565,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Wadham Energy LP","--",4461,176296,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Warm Springs Forest Products","--","--","--","--",16406,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Warren Lumber Mill","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Water Reclamation Plant",76971,474,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"West Point Treatment Plant",273776,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"WestRock (TX)","--",2021846,"--",0,567742,1229077,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"WestRock (WA)","--",97704,"--",0,200886,511451,"--","--",0,"--",11157,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"WestRock Panama City Mill","--",1925493,"--","--",365814,857889,26615,"--",43674,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"WestRock Southeast, LLC.","--",490899,"--",0,204824,"--",3053,"--","--",44618,"--",70336,"--","--","--","--","--","--","--",74866,"--","--","--","--","--","--","--","--","--","--","--"
"WestRock-West Point Mill","--",4572797,"--",2725,420737,750885,21484,"--",6309,33451,"--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Westervelt Moundville Cogen","--","--","--","--",74244,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Westrock Hodge (LA)","--",4890658,"--","--",301933,1617263,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Weyerhaeuser Pine Hill Operations","--",1863094,"--",0,315983,657162,328,"--",11575,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Wheelabrator Ridge Energy","--","--","--","--",300223,"--","--","--","--","--","--",32206,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",219235,"--"
"Wheelabrator Shasta","--",0,0,"--",435718,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Windy Ridge Generating Facility",219857,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Wisconsin Rapids Pulp Mill","--",1653002,"--","--",250868,742880,"--","--","--","--","--","--","--","--",135817,"--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
