"Plants for multiple sectors,multiple states,multiple primary technologys"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,5&pt=0000g8&pm=&sec=vvo&geo=vvvvvvvvvvvvo&wd=&ws=&wsn=&wt=&freq=A&datecode=2016&tab=consumption-mmbtu_unit&start=200101&end=201710&ctype=linechart&ltype=pin&maptype=0&rse=0&pin="
"Mon Jan 29 2018 14:53:00 GMT-0500 (Eastern Standard Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","OBG","AB","NG","BLQ","DFO","WDS","SLW","WO","TDF","BIT","SUB","PG","RFO","OBL","OBS","WDL","MSB","MSN","PC","OTH","JF","LFG"
"Clewiston Sugar House","--",8,"--","--",6,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Collins Pine Project","--","--","--","--","--",17,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Collinwood BioEnergy Facility",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Columbia Flooring Melbourne","--","--","--","--","--",16,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Columbus MS","--","--",1,12,6,8,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Consumer Products (Camas) LLC","--","--",1,11,"--",17,"--","--","--","--","--","--","--","--",12,"--","--","--","--","--","--","--"
"Cosmo Specialty Fibers Plant","--","--","--","--","--",9,"--","--","--","--","--","--",6,"--","--",2,"--","--","--","--","--","--"
"Covington Facility","--","--",1,12,6,9,"--","--","--",26,"--","--",6,"--","--","--","--","--","--","--","--","--"
"Cox Waste to Energy","--","--","--","--","--",10,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Craven County Wood Energy LP","--","--","--","--","--",9,"--","--","--","--","--","--","--","--",10,"--","--","--","--","--","--","--"
"DC Water CHP",1,"--",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"DG Whitefield LLC","--","--","--","--","--",8,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Dairyland WTE Plant",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Darrington","--","--","--","--","--",12,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Davenport Water Pollution Control Plant",1,"--",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"DeRidder Mill","--","--",1,12,"--",18,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Deer Island Treatment Plant",1,"--","--","--",6,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Des Moines Wastewater Reclamation Fac",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Desert View Power","--","--",1,"--","--",15,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Dillard Complex","--","--",1,"--","--",16,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
