"Plants for multiple sectors,multiple states,multiple primary technologys"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,5&pt=0000g8&pm=&sec=vvo&geo=vvvvvvvvvvvvo&wd=&ws=&wsn=&wt=&freq=A&datecode=2016&tab=consumption-mmbtu_unit&start=200101&end=201710&ctype=linechart&ltype=pin&maptype=0&rse=0&pin="
"Mon Jan 29 2018 14:53:00 GMT-0500 (Eastern Standard Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","OBG","AB","NG","BLQ","DFO","WDS","SLW","WO","TDF","BIT","SUB","PG","RFO","OBL","OBS","WDL","MSB","MSN","PC","OTH","JF","LFG"
"Pine Bluff Mill","--","--",1,12,"--",8,"--","--",30,"--","--","--","--","--","--","--","--","--","--","--","--","--"
"Pinetree Power","--","--","--","--","--",9,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Pinetree Power Fitchburg","--","--",1,"--","--",9,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Pinetree Power Tamworth","--","--","--","--","--",9,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Plainfield Renewable Energy LLC","--","--","--","--","--",15,"--","--","--","--","--","--","--",5,"--","--","--","--","--","--","--","--"
"Plant 31 Paper Mill","--","--",1,12,"--",8,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Plant No 1 Orange County",1,"--",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Plant No 2 Orange County",1,"--",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Plummer Cogen","--","--","--","--","--",16,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Port Townsend Paper","--","--",1,12,"--",18,"--",6,"--","--","--",3,"--","--","--","--","--","--","--","--","--","--"
"Port Wentworth Mill",1,"--",1,12,6,9,10,"--","--","--","--","--","--",4,"--","--","--","--","--","--","--","--"
"Power Generation Station (PGS) 2",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Rapids Energy Center","--","--",1,"--","--",9,"--","--","--","--",18,"--","--","--","--","--","--","--","--","--","--","--"
"Rayonier Advanced Materials - Jesup Plant","--","--",1,11,"--",9,"--","--","--","--","--","--",6,"--","--","--","--","--","--","--","--","--"
"ReEnergy Ashland","--","--","--","--","--",8,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"ReEnergy Black River","--","--","--","--",6,11,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"ReEnergy Fort Fairfield","--","--","--","--","--",8,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"ReEnergy Livermore Falls","--","--","--","--","--",8,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"ReEnergy Lyonsdale Biomass","--","--","--","--","--",9,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"ReEnergy Stratton LLC","--","--","--","--","--",8,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Riceland Foods Cogeneration Plant","--","--","--","--","--","--","--","--","--","--","--","--","--","--",23,"--","--","--","--","--","--","--"
"Richland Center Renewable Energy LLC",1,"--",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Rio Bravo Fresno","--","--",1,"--","--",12,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Rio Bravo Rocklin","--","--",1,"--","--",16,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Rio Grande Valley Sugar Growers","--",7,1,"--",6,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Riverside RWQCP Fuel Cell",1,"--",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Riverwood International Macon Mill","--","--",1,12,"--",9,10,6,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Robbins Lumber","--","--","--","--",6,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Rock Creek Dairy",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Rock-Tenn Mill","--","--",1,12,6,9,"--","--","--",27,"--","--","--","--","--","--","--","--","--","--","--","--"
"Roseburg Forest Products Biomass","--","--","--","--","--",15,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Rothschild Biomass Cogen Facility","--","--",1,"--","--",9,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Rumford Cogeneration","--","--","--",12,"--",9,4,"--",31,25,"--","--",6,"--","--","--","--","--","--","--","--","--"
"Ryegate Power Station","--","--","--","--","--",9,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"S D Warren Westbrook","--","--","--","--",6,9,"--","--","--",25,"--","--",6,"--","--","--","--","--","--","--","--","--"
"SDS Lumber Gorge Energy Division","--","--","--","--","--",17,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"SF Southeast Cogen Plant",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"SJ/SC WPCP",2,"--",1,"--",6,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"SPI Anderson 2","--","--",1,"--","--",18,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Sappi Cloquet Mill","--","--",1,11,6,10,4,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Sauder Power Plant","--","--",1,"--","--",18,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Savannah River Site Biomass Cogen","--","--","--","--",6,9,"--","--",30,"--","--","--","--","--","--","--","--","--","--","--","--","--"
"Schiller","--","--",1,"--","--",10,"--","--","--",26,"--","--",6,"--",15,"--","--","--","--","--",6,"--"
"Scotia Co-gen Humboldt Redwood Company LLC","--","--","--","--",6,12,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Seneca Sustainable Energy LLC","--","--","--","--","--",9,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Sierra Pacific Aberdeen","--","--","--","--","--",18,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Sierra Pacific Burlington Facility","--","--","--","--","--",18,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Sierra Pacific Burney Facility","--","--","--","--","--",18,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Sierra Pacific Lincoln Facility","--","--","--","--","--",18,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Sierra Pacific Quincy Facility","--","--","--","--","--",18,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Sierra Pacific Sonora","--","--","--","--","--",18,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Silicon Valley Clean Water",1,"--",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Snider Industries","--","--","--","--","--",9,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Somerset Plant","--","--",1,11,6,9,4,"--",32,"--","--","--",6,2,"--","--","--","--","--","--","--","--"
"Sonoco Products Co","--","--",1,"--","--",9,"--","--","--",26,"--","--","--","--","--","--","--","--","--","--","--","--"
"South Bay Fuel Cell Plant",1,"--",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"South Columbus Water Resource Facility",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"South District Wastewater Treatment Plt",1,"--",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",1
"Southampton Power Station","--","--","--","--",6,9,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Southside Water Reclamation Plant",2,"--",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Springfield Power LLC","--","--","--","--","--",9,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"St Francisville Mill","--","--",1,13,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"St Paul Cogeneration","--","--",1,"--","--",8,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Stockton Biomass","--","--",1,"--","--",16,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Stoltze CoGen1","--","--","--","--","--",9,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Subregional Water Reclamation Facility",1,"--",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Synergy Biogas",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Tamarack Energy Partnership","--","--","--","--","--",9,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Telogia Power","--","--","--","--","--",10,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Threemile Digester",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Ticonderoga Mill","--","--",1,8,"--",8,"--","--","--","--","--","--",6,"--","--","--","--","--","--","--","--","--"
"Total Energy Facilities",1,"--",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"U S Alliance Coosa Pines","--","--",1,12,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"UCSD Fuel Cell Plant",1,"--",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Verso Paper Quinnesec Mich Mill","--","--",1,11,"--",9,"--","--","--",25,"--","--","--","--","--","--","--","--","--","--","--","--"
"Verwey-Hanford Dairy Digester #1",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Viking Energy of Lincoln","--","--",1,"--","--",8,"--","--",26,"--","--","--","--","--","--","--","--","--","--","--","--","--"
"Viking Energy of McBain","--","--",1,"--","--",8,"--","--",28,"--","--","--","--","--","--","--","--","--","--","--","--","--"
"Village Creek Water Reclamation Facility",1,"--",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0
"Virginia","--","--",1,"--","--",9,"--","--","--","--",17,"--","--","--","--","--","--","--","--","--","--","--"
"WWTP Power Generation Station",1,"--","--","--",6,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Wadham Energy LP","--",12,1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Water Reclamation Plant",1,"--",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"West Point Treatment Plant",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"WestRock (TX)","--","--",1,12,"--",9,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"WestRock (WA)","--","--",1,12,"--",16,"--",6,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"WestRock Panama City Mill","--","--",1,11,"--",8,"--","--","--",27,"--","--",6,"--","--","--","--","--","--","--","--","--"
"WestRock-West Point Mill","--","--",1,11,6,10,5,"--","--",25,"--","--",6,"--","--","--","--","--","--","--","--","--"
"Westervelt Moundville Cogen","--","--","--","--","--",9,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Weyerhaeuser Pine Hill Operations","--","--",1,11,"--",17,"--","--","--",24,"--","--",6,"--","--","--","--","--","--","--","--","--"
"Wheelabrator Ridge Energy","--","--","--","--","--",17,"--","--",20,"--","--","--","--","--","--","--","--","--","--","--","--",1
"Wheelabrator Shasta","--","--","--","--","--",17,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Windy Ridge Generating Facility",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Wisconsin Rapids Pulp Mill","--","--",1,11,"--",9,"--","--","--","--",17,"--","--","--","--","--","--","--","--","--","--","--"
"Woodland Biomass Power Ltd","--","--",1,"--","--",16,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Woodville Renewable Power Project","--","--","--","--","--",8,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Wooster Renewable Energy",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Zeeland Farm Services",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Zero Waste Energy Development Co LLC",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--" 
