Plant.Name.x,Plant.Code,State.x,Sector.Name,Prime.Movers,Fuel.Types,Primary.Technology,Utility.ID,Utility.Name,Plant.Name.y,Street.Address,City,State.y,Zip,County,Latitude,Longitude
ReEnergy Stratton LLC,50650,ME,IPP Non-CHP,ST,WDS,Wood/Wood Waste Biomass,1950,ReEnergy Stratton LLC,ReEnergy Stratton LLC,Rt. 27,Stratton,ME,04982,Franklin,45.140614,-70.425577
Red Shield Envir Old Town Facility,10700,ME,Industrial CHP,ST,"BLQ, WDS",Wood/Wood Waste Biomass,56448,MFGR LLC,Red Shield Envir Old Town Facility,24 Portland Street,Old Town,ME,04468,Penobscot,44.918063,-68.63554
Riceland Foods Cogeneration Plant,56079,AR,IPP CHP,ST,OBS,Other Waste Biomass,15597,Riceland Foods Inc.,Riceland Foods Cogeneration Plant,1200 North Park Avenue,Stuttgart,AR,72160,Arkansas,34.5136,-91.5331
Richland Center Renewable Energy LLC,58834,WI,IPP CHP,IC,OBG,Other Waste Biomass,58709,Richland Center Renewable Energy LLC,Richland Center Renewable Energy LLC,24520 County Highway RC,Richland Center,WI,53581,Richland,43.314444,-90.373056
Rio Bravo Fresno,10767,CA,IPP Non-CHP,ST,WDS,Wood/Wood Waste Biomass,15986,Rio Bravo Fresno,Rio Bravo Fresno,3350 So. Willow,Fresno,CA,93725,Fresno,36.688915,-119.723218
Rio Bravo Rocklin,10772,CA,IPP Non-CHP,ST,WDS,Wood/Wood Waste Biomass,16077,Rio Bravo Rocklin,Rio Bravo Rocklin,3100 Thunder Valley Court,Lincoln,CA,95648,Placer,38.8319,-121.313652
Rio Grande Valley Sugar Growers,54338,TX,Industrial CHP,"IC, ST","AB, DFO",Multiple,16098,"Rio Grande Valley Sugar Growers, Inc.",Rio Grande Valley Sugar Growers,2 1/2mi.W. Hwy 107,Santa Rosa,TX,78593,Hidalgo,26.269683,-97.867012
Riverside RWQCP Fuel Cell,59877,CA,Commercial CHP,FC,OBG,Other Waste Biomass,59662,"Riverside Fuel Cell, LLC",Riverside RWQCP Fuel Cell,5950 Acorn Street,Riverside,CA,92504,Riverside,33.9617,-117.455897
Riverwood International Macon Mill,54464,GA,Industrial CHP,ST,"BLQ, WDS",Wood/Wood Waste Biomass,16024,Riverwood Intl USA Inc,Riverwood International Macon Mill,100 Graphic Packaging Intl Way,Macon,GA,31206,Bibb,32.7714,-83.6281
Robbins Lumber,50230,ME,Industrial CHP,"IC, ST","DFO, WDS",Multiple,16191,Robbins Lumber Inc,Robbins Lumber,"53 Ghent Road, P. O. Box 9",Searsmont,ME,04973,Waldo,44.3331,-69.2019
Rock Creek Dairy,58142,ID,IPP Non-CHP,IC,OBG,Other Waste Biomass,58098,New Energy One LLC,Rock Creek Dairy,2150 E 3500 N,Filer,ID,83328,Twin Falls,42.500278,-114.615
Rock-Tenn Mill,54763,AL,Industrial CHP,ST,BLQ,Wood/Wood Waste Biomass,59976,"WestRock Mill Company, LLC",Rock-Tenn Mill,28270 US Hwy 80,Demopolis,AL,36732,Marengo,32.4541,-87.9759
Roseburg Forest Products Biomass,56469,CA,Industrial CHP,ST,WDS,Wood/Wood Waste Biomass,54894,Roseburg Forest Products,Roseburg Forest Products Biomass,98 Mill Street,Weed,CA,96094,Siskiyou,41.435556,-122.376944
